Model,Horizon,MAE,RMSE,R2_log,R2_level,QLIKE,Directional_Accuracy
Persistence,5,0.003183118846027945,0.005314290440087214,0.20716422415750735,0.0636902334346996,0.514781046012509,0.5030978934324659
HAR (linear),5,0.0027792176585842462,0.004631257635464035,0.35479227711940897,0.2889062458936167,0.3932521745268929,0.6456009913258984
XGBoost (default),5,0.002730199594048627,0.004491935089352272,0.3559396116395457,0.3310465080678787,0.4140462763564693,0.6753407682775713
XGBoost (tuned),5,0.002462163529460065,0.004198137950406799,0.48539205618760706,0.41569124708519534,0.30514239332895826,0.7001239157372986
Persistence,22,0.002885976901309324,0.004027878219684782,0.1515857816756937,0.049465809121818416,0.36999994586093726,0.5416149068322982
HAR (linear),22,0.0024158450207951063,0.0034752343377560694,0.34139769641089457,0.29240742078190574,0.28540639894749087,0.6472049689440994
XGBoost (default),22,0.002354122091275425,0.0035773482311845413,0.2600964339685312,0.2502136737263644,0.37080110142992084,0.6832298136645962
XGBoost (tuned),22,0.0020371201609831963,0.0031975351067141,0.4893628946331119,0.40097393071583687,0.23544453866188111,0.7254658385093168
