Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,True_Positive,True_Negative,False_Positive,False_Negative
LSTM (Tuned),0.5644090305444888,0.5743348982785602,0.8676122931442081,0.6911487758945386,0.5358550039401103,367,58,272,56
LSTM (Baseline),0.5577689243027888,0.5855513307984791,0.7281323877068558,0.649104320337197,0.5282111899133176,308,112,218,115
XGBoost (Baseline),0.5418326693227091,0.5724907063197026,0.7281323877068558,0.6409989594172737,0.5165699548678273,308,100,230,115
Lasso (Tuned),0.5325365205843293,0.5702970297029702,0.6808510638297872,0.6206896551724138,0.5193638512787448,288,113,217,135
XGBoost (Tuned),0.5272244355909694,0.5679513184584178,0.6619385342789598,0.611353711790393,0.5111827494806218,280,117,213,143
Lasso (Baseline),0.5166002656042497,0.5608247422680412,0.6430260047281324,0.5991189427312775,0.5235905150798768,272,117,213,151
