Feature_set,Horizon,MAE,RMSE,R2_log,R2_level,QLIKE,Directional_Accuracy,N_features
HAR only,5,0.00278215821537742,0.004637590553235708,0.35921378099752677,0.2869601752585532,0.39253300940854896,0.6579925650557621,3
Macro / cross-asset only,5,0.002540655870972677,0.004423734674586177,0.4585873339271642,0.35120555384601226,0.3612355312438987,0.7063197026022305,21
HAR + macro (original set),5,0.002484094725974542,0.004346973993888602,0.4772775573890644,0.37352598010658977,0.3429598869669398,0.6976456009913259,24
HAR + implied volatility,5,0.002543973885474253,0.004248078983217436,0.445300595653324,0.40170668946671173,0.3129793530339991,0.6951672862453532,8
HAR + macro + implied (full),5,0.002462163529460065,0.004198137950406799,0.48539205618760706,0.41569124708519534,0.30514239332895826,0.7001239157372986,29
