Horizon,Accuracy,Majority_Baseline,ROC_AUC,PR_AUC,F1,N_test
5,0.6864931846344485,0.5030978934324659,0.7678832475461592,0.7753824303126319,0.6622162883845126,807
22,0.6869565217391305,0.5416149068322982,0.7897739986574178,0.7333518280987599,0.5827814569536424,805
