Estimator,Horizon,MAE,RMSE,R2_log,R2_level,QLIKE,Directional_Accuracy,DM_vs_HAR,DM_p_value
Yang-Zhang (overnight gap + intraday),5,0.002462163529460065,0.004198137950406799,0.48539205618760706,0.41569124708519534,0.30514239332895826,0.7001239157372986,-3.3087730319222635,0.00093705767981489
Parkinson (intraday range only),5,0.0021689015373846333,0.003871894024177826,0.4264019129855805,0.3601100259175467,0.3674283206757787,0.6902106567534076,-1.713665427208093,0.08659018987984024
