Feature_set,Horizon,MAE,RMSE,R2_log,R2_level,QLIKE,Directional_Accuracy,N_features
HAR only,5,0.0027643007516391896,0.004695542621328995,0.36750410313072257,0.26902831345901346,0.40130746200418244,0.6666666666666666,3
Macro / cross-asset only,5,0.002675086563403445,0.004718864659287391,0.39241001965864863,0.2617490328421228,0.41304775831409396,0.6827757125154895,21
HAR + macro (original set),5,0.0026247546460008158,0.0047028667964252825,0.41039223678490766,0.26674617463316164,0.4155494342731964,0.6753407682775713,24
HAR + implied volatility,5,0.002730489321845909,0.004730939646846504,0.3516544452981275,0.25796601414086473,0.4249906957490177,0.6976456009913259,8
HAR + macro + implied (full),5,0.002513057768010553,0.004449997453976907,0.46400210485578075,0.3434791753120382,0.3470588837983773,0.6951672862453532,29
