Strategy,Final $,Profit $,Return %,Sharpe,Max DD %
Gold buy & hold,1097.0829387168124,97.08293871681235,9.708293871681239,0.4304033797862405,-27.46665565162535
Vol-targeted gold (naive 20d),1091.2468716466951,91.24687164669513,9.12468716466952,0.6977688463008715,-14.906707218683868
Vol-targeted gold (Lasso),1163.7320456776756,163.73204567767561,16.373204567767562,1.144867347568331,-16.058016692215695
