Model,Horizon,MAE,RMSE,R2_log,R2_level,QLIKE,Directional_Accuracy
Persistence,5,0.003183118846027945,0.005314290440087214,0.20716422415750735,0.0636902334346996,0.514781046012509,0.5030978934324659
HAR (linear),5,0.0027792176585842462,0.004631257635464035,0.35479227711940897,0.2889062458936167,0.3932521745268929,0.6456009913258984
Lasso (default),5,0.002443178669215092,0.004128751586858728,0.48734835597249637,0.4348464127364867,0.3014281481112441,0.711276332094176
Lasso (tuned),5,0.0024768636149942787,0.004203659604085694,0.47313800289672325,0.4141531974249204,0.3093783013606509,0.7001239157372986
Persistence,22,0.002885976901309324,0.004027878219684782,0.1515857816756937,0.049465809121818416,0.36999994586093726,0.5416149068322982
HAR (linear),22,0.0024158450207951063,0.0034752343377560694,0.34139769641089457,0.29240742078190574,0.28540639894749087,0.6472049689440994
Lasso (default),22,0.0019420658583622122,0.003069705608802234,0.5184414611925923,0.4479117100528065,0.22024470936133336,0.7652173913043478
Lasso (tuned),22,0.0019441378257836284,0.003070783427542763,0.5214681992533494,0.44752394937033724,0.2160282911438397,0.7751552795031056
