Date,forecast,naive,realised,gold_next
2025-07-31,0.008900640218202542,0.007752482010040998,0.01106806903615548,0.016549253251569578
2025-08-01,0.009267458706276788,0.008582954955324084,0.010173187217797156,0.007975610586763826
2025-08-04,0.008263057595286475,0.008753924536236203,0.00891565626427163,0.0022226174185194943
2025-08-05,0.00779703378871234,0.008541333740375209,0.005727482836303321,-0.0005617855047789095
2025-08-06,0.007348616921314777,0.008549232075155162,0.008720797321306753,0.006005931605954118
2025-08-07,0.007416786222256971,0.00862044459088395,0.01901011604870133,0.011410772070393224
2025-08-08,0.00814112411660093,0.008606549642454305,0.016547505485536018,-0.02500654169926858
2025-08-11,0.009927737074691407,0.010454954383488813,0.0066935579112176,-0.0012526304584333666
2025-08-12,0.007788833585063663,0.010348066962581184,0.003259955764260446,0.0029263486858074556
2025-08-13,0.007275706207147051,0.010255707899181135,0.006309037599697788,-0.006996754798475085
2025-08-14,0.007071683372615863,0.010346731998038544,0.003486114704089764,0.000239880318972633
2025-08-15,0.006448786235220426,0.010305995229324552,0.004604115913417069,-0.001288983461668122
2025-08-18,0.00585468870617406,0.009705244613052453,0.0060206201759589,-0.005492706154912866
2025-08-19,0.00611693645708581,0.009328434008816026,0.0015882584889283483,0.00905414404665712
2025-08-20,0.005619718640613433,0.009229456277198646,0.004962842570263136,-0.0019441287880170568
2025-08-21,0.006315151967746395,0.00912423108219127,0.004712160255180122,0.011237975695243574
2025-08-22,0.005939797666118739,0.009127098898742253,0.0032618229317775303,-0.0001777659829850845
2025-08-25,0.005369561387297567,0.008929888836229073,0.005132775701207613,0.004386759325961193
2025-08-26,0.00666409952218503,0.008931183987291206,0.005966914813508533,0.004721713846100127
2025-08-27,0.006661075046195579,0.008688558912876936,0.005690338894946469,0.007989176523433639
2025-08-28,0.006697955937366668,0.008780345430914308,0.005509153254495073,0.012209307578411504
2025-08-29,0.00813852383941527,0.008458480023623153,0.008332332144935653,0.021792311436207072
2025-09-02,0.006622027680445262,0.00946310170212727,0.0029775215501095993,0.012340127918300366
2025-09-03,0.0077697253292220774,0.00970923803884944,0.01270924990742554,-0.0076254877869554255
2025-09-04,0.00761813993694797,0.009973296662053507,0.0005607267088210943,0.013292922119771443
2025-09-05,0.006087240862076979,0.01022680945270146,0.007337477204374048,0.006891438841157545
2025-09-08,0.007838991257934136,0.010083312644128883,0.008713203085754167,0.0014293040412011828
2025-09-09,0.006907247196252896,0.007630357206955285,0.007722429895847929,8.235633192543725e-05
2025-09-10,0.007641974779098747,0.007586288532221071,0.005389337130271811,-0.001838894261971746
2025-09-11,0.0063875813962651195,0.007702929173958935,0.005723218608242867,0.0034369931358144176
2025-09-12,0.006840410568308133,0.007259112465238587,0.006199387337870188,0.008987792433232665
2025-09-15,0.00808891142584032,0.007251187637093667,0.003505472148154357,0.0018195511543967668
2025-09-16,0.007462215408054753,0.007143226654205732,0.006665757996631457,-0.0019246533393638269
2025-09-17,0.007128660270569389,0.006904412965922152,0.009302469544241429,-0.010348225637178904
2025-09-18,0.007049649394313915,0.007672763049812927,0.006857411493018749,0.007629620770278822
2025-09-19,0.006839892384530197,0.0075598256192236325,0.007327136365925016,0.01884786903768892
2025-09-22,0.0075690045818927595,0.008062876734765176,0.0061482040977546915,0.010666492101799077
2025-09-23,0.00845412834522385,0.008048333070111973,0.003986553336138047,-0.012828651205417582
2025-09-24,0.007344659632044722,0.009061673749960144,0.0064805108083812605,0.001286086804186809
2025-09-29,0.008904865825449195,0.009148090738383787,0.013320600524487893,0.005208235492420934
2025-09-30,0.00976721463560595,0.00825511195154582,0.009513705901515455,0.0069516639326281104
2025-10-01,0.008782326720707154,0.00805588258776631,0.012238790860999764,-0.007188118636877794
2025-10-02,0.00895392314712215,0.00802379597457612,0.005618581519624189,0.010703986816393337
2025-10-03,0.007785155801760782,0.007883459151660764,0.013950661864801442,0.01744484392910638
2025-10-06,0.0090621783295733,0.008438099094280616,0.007737583944124255,0.0071166512995441055
2025-10-07,0.009409164282793087,0.008438967229060316,0.005439226291147246,0.016773110077421913
2025-10-08,0.009588692791159818,0.008799532577444124,0.01758801724143059,-0.0239903046592135
2025-10-09,0.011096286197689183,0.0109204877943971,0.01242735774203212,0.007500659643053335
2025-10-10,0.013216131677897003,0.010945168429068616,0.010693888526980075,0.033376140891845506
2025-10-13,0.009684018681125913,0.012650758347119085,0.014507745668456288,0.007326120075161478
2025-10-14,0.013142199090676328,0.012626630869263838,0.011335591935093252,0.009229880210824283
2025-10-15,0.012815974175154527,0.012514952570333585,0.014017599314926547,0.024731330743833706
2025-10-16,0.0170105982927605,0.012490753942030123,0.02004767917965751,-0.021097212477968422
2025-10-17,0.015596259020287558,0.014114380656981267,0.022034186767226113,0.034965035779983736
2025-10-20,0.014586136207249363,0.015214190117634275,0.0008535389404171936,-0.05735171035251078
2025-10-21,0.012606453516046093,0.021226297085173904,0.02261476902701902,-0.010592765943036288
2025-10-22,0.013417552039528616,0.021137805088188744,0.011586314830494557,0.02005244278866984
2025-10-23,0.011081756537214129,0.021417402842548925,0.01070524886994846,-0.001721027186098591
2025-10-24,0.01075075302535353,0.021429065850721008,0.02145451318965388,-0.02828768520844723
2025-10-27,0.012082225643956432,0.022566146274409143,0.01866117091711069,-0.008920750654199687
2025-10-30,0.013550251531225476,0.022582726561607386,0.009413798152204726,-0.004773472977074906
2025-10-31,0.011608376588890438,0.02253752069879699,0.010053920171751662,0.004545250835765731
2025-11-03,0.011836002109488769,0.022239244435135606,0.009637838142868609,-0.013149038075696019
2025-11-04,0.00918194918469309,0.02239341911393842,0.005595483114325557,0.008257997836581508
2025-11-05,0.008392452458419452,0.022134890779147966,0.006425128203179665,-0.00010053173867945445
2025-11-06,0.009185804290932872,0.021433138257894026,0.00022614757338728245,0.004899620713705884
2025-11-07,0.006565236615499,0.02139615657882037,0.015038648162601309,0.028104191900860144
2025-11-10,0.009121256778197365,0.021013949468019502,0.006859124385565263,-0.001216012509728668
2025-11-11,0.009070464295575197,0.020945255862580028,0.008950400558798413,0.023765487069724988
2025-11-12,0.010065026205689763,0.021525336924336346,0.01092177591135792,-0.004162306252134698
2025-11-13,0.01067731428270954,0.020776858344489578,0.01930960195609657,-0.023716784973033082
2025-11-14,0.01128409589398662,0.020922248624977616,0.015002580103141218,-0.0047216088577723475
2025-11-17,0.011825190413328501,0.01917405008616064,0.008017426692841941,-0.0017206203859068442
2025-11-18,0.01209007886079528,0.013957505269918132,0.011822325032784046,0.004038091780114139
2025-11-19,0.011676471367734123,0.01377067427328601,0.012747306491688372,-0.005198997333235016
2025-11-20,0.012072819322068901,0.013028558587796737,0.008044146240402065,0.004979650233421563
2025-11-21,0.009807429556064642,0.013090527324269807,0.003981706894730513,0.0037284939666716757
2025-11-26,0.009804463244181025,0.011294732066022023,0.011177184809722183,0.01274839308678547
2025-11-28,0.009802367442933457,0.011527265354599015,0.007751405574471387,0.004978309027884693
2025-12-01,0.009714603991596724,0.011402200872453635,0.008676876674838551,-0.012431229084807488
2025-12-02,0.010183299452466568,0.011916851147179277,0.009380856198585055,0.0030334177459078334
2025-12-03,0.009155996262998319,0.011343732973273239,0.009115253454453989,0.0029766867290700635
2025-12-04,0.009001848864238457,0.01127921507342106,0.01169032291263734,0.0002611941942316479
2025-12-05,0.008898397070482999,0.011274563687802375,0.00630666450586037,-0.006100241550233015
2025-12-08,0.008974539864831479,0.011437050122009114,0.0065931321402295335,0.004657049840088792
2025-12-09,0.00876349443294762,0.009781699947714943,0.008566340635587363,-0.002448544581386521
2025-12-10,0.009457150552766405,0.009801241333274943,0.009290930020445329,0.02123250875267782
2025-12-11,0.008881519991240872,0.009514615774344724,0.01647953946625953,0.0034068597961147175
2025-12-12,0.010289462047783709,0.009450331982086169,0.010387840853125965,0.0015348707021604928
2025-12-15,0.010414908718231312,0.007335445226536084,0.010847998761552357,-0.0005108772871849074
2025-12-16,0.009844689560119088,0.007171924128481295,0.0031219343463390558,0.009989545824137455
2025-12-17,0.009148218806069105,0.007256630135091307,0.004893546887419874,-0.0018401380103507572
2025-12-18,0.009804041862032027,0.007348212997683337,0.0024397216891421875,0.005046641858220876
2025-12-19,0.007568263127325713,0.007089981118439066,0.004079520801215559,0.01907648855308801
2025-12-22,0.00903572910810161,0.00787017025225077,0.016074257409471937,0.008594633081026433
2025-12-23,0.0100964669408122,0.00792492154053862,0.006209989713312801,-0.0004906993680489067
2025-12-24,0.009709757233057923,0.007825700134498277,0.010981180443692127,0.010824442919012047
2025-12-26,0.011144701979737987,0.007959034403617154,0.03571552849162698,-0.04504206036549445
2025-12-29,0.015477832289699931,0.013546657952356071,0.011757516515174643,0.010404383478751273
2025-12-30,0.012430237622403324,0.013677273892684439,0.01543160984909903,-0.010182833117224422
2025-12-31,0.012864909891685207,0.01356348956630494,0.005762907408075696,-0.002589281269567282
2026-01-02,0.011524966276920203,0.013591261629962523,0.017333027639276806,0.028393288237711267
2026-01-05,0.011864611317909867,0.0148426435341734,0.003077184311907281,0.010209897443217143
2026-01-06,0.010206627804032276,0.014925199001251253,0.007209944716342728,-0.007340232294712522
2026-01-07,0.01087423100176544,0.014968322823620102,0.008636974695534046,8.998958096251286e-05
2026-01-08,0.010292163153097228,0.014977190900952186,0.005222602382034261,0.009124122433634894
2026-01-09,0.009375796064640434,0.01498607851196945,0.020381462770266083,0.025388059808610853
2026-01-12,0.011014798209722454,0.015262417476275035,0.009059932651736694,-0.003279458335798968
2026-01-13,0.010357194955087001,0.015339745321811779,0.005732936425915383,0.008084112219138812
2026-01-14,0.009912346419021521,0.015370493902884674,0.002900665028153186,-0.002161554681317399
2026-01-15,0.009334706802908675,0.01539806298526626,0.0017995527255338724,-0.0060437804137893165
2026-01-16,0.009119291273341169,0.015461251902482636,0.016623464039382297,0.03731152448701143
2026-01-20,0.010367013734362988,0.01716634265618689,0.02685616589267061,0.015169280097040579
2026-01-21,0.011807038257239822,0.01732458375773085,0.008292056522669013,0.01593609071412676
2026-01-22,0.012642229233991045,0.01720877923224407,0.009530588816975083,0.013730523408316169
2026-01-23,0.014100927206047876,0.017301788945843225,0.02187533171662574,0.020799002439149297
2026-01-29,0.03431483348769237,0.014895438539103953,0.04705050791082536,-0.11366200569716556
2026-01-30,0.03596330120661887,0.03262855668679675,0.07245570075558258,-0.0193894448836951
2026-02-02,0.02467331981828731,0.03303593233524516,0.03525616777938607,0.06083292489183324
2026-02-03,0.02126967208919227,0.03492637859097792,0.0326705875852014,0.0034055318159975606
2026-02-04,0.02089573970028634,0.03490655218531913,0.0323923777069159,-0.011990895287168834
