Model,MAE,MSE,RMSE,R2,Directional_Accuracy
Baseline Lasso,0.009173396836275311,0.00017411003596343866,0.01319507620150178,0.000677414954052824,0.5166002656042497
Tuned Lasso,0.009163345639767869,0.00017417173994110742,0.013197414138425278,0.0003232585831672852,0.5325365205843293
