Feature_Set,Number_of_Features,Non_Zero_Coefficients,MAE,MSE,RMSE,R2,Directional_Accuracy
All 21 Features,21,6,0.00715478644900142,9.585949757506324e-05,0.00979078636142487,0.016937500432081976,0.5438829787234043
Gold + Macro,17,6,0.007154786494207842,9.585949799976472e-05,0.009790786383113703,0.016937496076664837,0.5438829787234043
Gold-Only,8,2,0.007167580703577067,9.725121632321476e-05,0.00986160313150021,0.0026650856389413002,0.5425531914893617
Gold + Commodities,12,2,0.007165591071994449,9.740658145685538e-05,0.009869477263606994,0.0010717783455993501,0.5412234042553191
