Model,MAE,MSE,RMSE,R2,Directional_Accuracy
Zero-Return Baseline,0.00919469335817335,0.0001752023594797447,0.013236402814954851,-0.005592089006365875,
Baseline XGBoost,0.00912709161541346,0.0001731797024839173,0.013159775928332416,0.00601716032005406,0.5444887118193891
Tuned XGBoost,0.009161608191008535,0.00017420103744101917,0.013198524062978374,0.00015510254790374045,0.5338645418326693
